pidpr,lisn,kod_pidpor,NAME,KALG,KONTROL,pidvidil,plosha,poroda,KAB_,bonitet,TLU,TL,Povnota,ZONA,zap_all,zap_1_ga,zapas_gol,vik,h,d,KLVK,suh,zapas,zag,likv,SIGN,poroda_short
ДП 'ОСТЕРСЬКИЙ ЛІСГОСП'                                                                             ,СОРОКОШИЦЬКЕ лісництво                                                          ,13,ЧЕРНІГІВСЬКА ОБЛАСТЬ                                                                                ,13742207,01:1:1,0,0.6,ВІЛЬХА ЧОРНА                                                                                        ,6,2                                                                                                   ,С4                                                                                                  ,С4ВЛЧ ,0.64,1,0.01,16,0.01,7,3.6,4.6,1,NA,NA,NA,NA,1,ALGL
ДП 'ОСТЕРСЬКИЙ ЛІСГОСП'                                                                             ,СОРОКОШИЦЬКЕ лісництво                                                          ,13,ЧЕРНІГІВСЬКА ОБЛАСТЬ                                                                                ,13742207,01:1:1,1,2.9,ВІЛЬХА ЧОРНА                                                                                        ,5,1                                                                                                   ,С4                                                                                                  ,С4ВЛЧ ,0.8,1,0.03,10,0.02,9,3,4,1,NA,NA,NA,NA,1,ALGL
ДП 'ОСТЕРСЬКИЙ ЛІСГОСП'                                                                             ,СОРОКОШИЦЬКЕ лісництво                                                          ,13,ЧЕРНІГІВСЬКА ОБЛАСТЬ                                                                                ,13742207,01:1:1,3,0.5,СОСНА ЗВИЧАЙНА                                                                                      ,5,1                                                                                                   ,В3                                                                                                  ,В3ДС  ,0.77,1,0.11,225,0.09,43,16.9,17.5,5,NA,NA,NA,NA,1,PISY
ДП 'ОСТЕРСЬКИЙ ЛІСГОСП'                                                                             ,СОРОКОШИЦЬКЕ лісництво                                                          ,13,ЧЕРНІГІВСЬКА ОБЛАСТЬ                                                                                ,13742207,01:1:1,4,0.6,СОСНА ЗВИЧАЙНА                                                                                      ,5,1                                                                                                   ,В3                                                                                                  ,В3ДС  ,0.85,1,0.2,327,0.2,53,19.4,22,6,NA,NA,NA,NA,1,PISY
ДП 'ОСТЕРСЬКИЙ ЛІСГОСП'                                                                             ,СОРОКОШИЦЬКЕ лісництво                                                          ,13,ЧЕРНІГІВСЬКА ОБЛАСТЬ                                                                                ,13742207,01:1:2,0,9.4,СОСНА ЗВИЧАЙНА                                                                                      ,5,1                                                                                                   ,В2                                                                                                  ,В2ДС  ,0.83,1,3.99,424,3.19,84,26.6,32,9,NA,NA,NA,NA,1,PISY
ДП 'ОСТЕРСЬКИЙ ЛІСГОСП'                                                                             ,СОРОКОШИЦЬКЕ лісництво                                                          ,13,ЧЕРНІГІВСЬКА ОБЛАСТЬ                                                                                ,13742207,01:1:3,0,29.5,СОСНА ЗВИЧАЙНА                                                                                      ,4,1А                                                                                                  ,В2                                                                                                  ,В2ДС  ,0.85,1,14.75,500,14.75,61,26.5,28.5,7,NA,NA,NA,NA,1,PISY
ДП 'ОСТЕРСЬКИЙ ЛІСГОСП'                                                                             ,СОРОКОШИЦЬКЕ лісництво                                                          ,13,ЧЕРНІГІВСЬКА ОБЛАСТЬ                                                                                ,13742207,01:2:1,0,1.8,СОСНА ЗВИЧАЙНА                                                                                      ,5,1                                                                                                   ,В2                                                                                                  ,В2ДС  ,0.88,1,0.57,319,0.57,49,18.5,21.5,5,NA,NA,NA,NA,1,PISY
ДП 'ОСТЕРСЬКИЙ ЛІСГОСП'                                                                             ,СОРОКОШИЦЬКЕ лісництво                                                          ,13,ЧЕРНІГІВСЬКА ОБЛАСТЬ                                                                                ,13742207,01:2:2,0,1,СОСНА ЗВИЧАЙНА                                                                                      ,5,1                                                                                                   ,В2                                                                                                  ,В2ДС  ,0.75,1,0.44,440,0.44,84,26.6,36,9,NA,NA,NA,NA,1,PISY
ДП 'ОСТЕРСЬКИЙ ЛІСГОСП'                                                                             ,СОРОКОШИЦЬКЕ лісництво                                                          ,13,ЧЕРНІГІВСЬКА ОБЛАСТЬ                                                                                ,13742207,01:2:3,0,1.5,СОСНА ЗВИЧАЙНА                                                                                      ,5,1                                                                                                   ,В2                                                                                                  ,В2ДС  ,0.88,1,0.58,387,0.58,59,21.4,27.5,6,NA,NA,NA,NA,1,PISY
ДП 'ОСТЕРСЬКИЙ ЛІСГОСП'                                                                             ,СОРОКОШИЦЬКЕ лісництво                                                          ,13,ЧЕРНІГІВСЬКА ОБЛАСТЬ                                                                                ,13742207,01:2:4,0,0.8,СОСНА ЗВИЧАЙНА                                                                                      ,5,1                                                                                                   ,В2                                                                                                  ,В2ДС  ,0.81,1,0.36,454,0.36,79,25.6,34,8,NA,NA,NA,NA,1,PISY
ДП 'ОСТЕРСЬКИЙ ЛІСГОСП'                                                                             ,СОРОКОШИЦЬКЕ лісництво                                                          ,13,ЧЕРНІГІВСЬКА ОБЛАСТЬ                                                                                ,13742207,01:2:5,0,0.5,СОСНА ЗВИЧАЙНА                                                                                      ,4,1А                                                                                                  ,В2                                                                                                  ,В2ДС  ,0.92,1,0.15,309,0.13,40,18.3,18,4,NA,NA,NA,NA,1,PISY
ДП 'ОСТЕРСЬКИЙ ЛІСГОСП'                                                                             ,СОРОКОШИЦЬКЕ лісництво                                                          ,13,ЧЕРНІГІВСЬКА ОБЛАСТЬ                                                                                ,13742207,01:2:6,0,4.1,СОСНА ЗВИЧАЙНА                                                                                      ,5,1                                                                                                   ,В2                                                                                                  ,В2ДС  ,0.78,1,1.87,457,1.87,84,26.6,36,9,NA,NA,NA,NA,1,PISY
ДП 'ОСТЕРСЬКИЙ ЛІСГОСП'                                                                             ,СОРОКОШИЦЬКЕ лісництво                                                          ,13,ЧЕРНІГІВСЬКА ОБЛАСТЬ                                                                                ,13742207,01:2:7,0,2.3,СОСНА ЗВИЧАЙНА                                                                                      ,5,1                                                                                                   ,В2                                                                                                  ,В2ДС  ,0.9,1,0.86,376,0.77,60,21.2,25.5,6,NA,NA,NA,NA,1,PISY
ДП 'ОСТЕРСЬКИЙ ЛІСГОСП'                                                                             ,СОРОКОШИЦЬКЕ лісництво                                                          ,13,ЧЕРНІГІВСЬКА ОБЛАСТЬ                                                                                ,13742207,01:2:8,0,2,СОСНА ЗВИЧАЙНА                                                                                      ,4,1А                                                                                                  ,В3                                                                                                  ,В3ДС  ,0.89,1,0.92,462,0.74,74,26.7,31.9,8,NA,NA,NA,NA,1,PISY
ДП 'ОСТЕРСЬКИЙ ЛІСГОСП'                                                                             ,СОРОКОШИЦЬКЕ лісництво                                                          ,13,ЧЕРНІГІВСЬКА ОБЛАСТЬ                                                                                ,13742207,01:2:9,0,0.7,БЕРЕЗА ПОВИСЛА                                                                                      ,6,2                                                                                                   ,В4                                                                                                  ,В4ДС  ,0.79,1,0.13,190,0.12,44,18.7,19.5,5,NA,NA,NA,NA,1,BEPE
ДП 'ОСТЕРСЬКИЙ ЛІСГОСП'                                                                             ,СОРОКОШИЦЬКЕ лісництво                                                          ,13,ЧЕРНІГІВСЬКА ОБЛАСТЬ                                                                                ,13742207,01:2:10,0,2.4,СОСНА ЗВИЧАЙНА                                                                                      ,5,1                                                                                                   ,В2                                                                                                  ,В2ДС  ,0.89,1,0.89,371,0.71,62,22.2,27.5,7,NA,NA,NA,NA,1,PISY
ДП 'ОСТЕРСЬКИЙ ЛІСГОСП'                                                                             ,СОРОКОШИЦЬКЕ лісництво                                                          ,13,ЧЕРНІГІВСЬКА ОБЛАСТЬ                                                                                ,13742207,01:2:11,0,5.9,СОСНА ЗВИЧАЙНА                                                                                      ,5,1                                                                                                   ,В3                                                                                                  ,В3ДС  ,0.79,1,2.32,394,1.63,84,27.6,38.8,9,NA,NA,NA,NA,1,PISY
ДП 'ОСТЕРСЬКИЙ ЛІСГОСП'                                                                             ,СОРОКОШИЦЬКЕ лісництво                                                          ,13,ЧЕРНІГІВСЬКА ОБЛАСТЬ                                                                                ,13742207,01:2:12,0,2.2,СОСНА ЗВИЧАЙНА                                                                                      ,5,1                                                                                                   ,В2                                                                                                  ,В2ДС  ,0.91,1,0.99,450,0.99,63,23.3,27.5,7,NA,NA,NA,NA,1,PISY
ДП 'ОСТЕРСЬКИЙ ЛІСГОСП'                                                                             ,СОРОКОШИЦЬКЕ лісництво                                                          ,13,ЧЕРНІГІВСЬКА ОБЛАСТЬ                                                                                ,13742207,01:2:13,0,2.4,СОСНА ЗВИЧАЙНА                                                                                      ,5,1                                                                                                   ,В2                                                                                                  ,В2ДС  ,0.79,1,1.17,487,1.17,84,27.6,38.8,9,NA,NA,NA,NA,1,PISY
ДП 'ОСТЕРСЬКИЙ ЛІСГОСП'                                                                             ,СОРОКОШИЦЬКЕ лісництво                                                          ,13,ЧЕРНІГІВСЬКА ОБЛАСТЬ                                                                                ,13742207,01:2:14,0,2.4,СОСНА ЗВИЧАЙНА                                                                                      ,5,1                                                                                                   ,В2                                                                                                  ,В2ДС  ,0.83,1,1.11,462,1.11,79,25.6,34.8,8,NA,NA,NA,NA,1,PISY
ДП 'ОСТЕРСЬКИЙ ЛІСГОСП'                                                                             ,СОРОКОШИЦЬКЕ лісництво                                                          ,13,ЧЕРНІГІВСЬКА ОБЛАСТЬ                                                                                ,13742207,01:2:15,0,1.6,СОСНА ЗВИЧАЙНА                                                                                      ,5,1                                                                                                   ,В2                                                                                                  ,В2ДС  ,0.87,1,0.69,429,0.69,63,23.3,27.5,7,NA,NA,NA,NA,1,PISY
ДП 'ОСТЕРСЬКИЙ ЛІСГОСП'                                                                             ,СОРОКОШИЦЬКЕ лісництво                                                          ,13,ЧЕРНІГІВСЬКА ОБЛАСТЬ                                                                                ,13742207,01:2:16,0,6.2,СОСНА ЗВИЧАЙНА                                                                                      ,5,1                                                                                                   ,В2                                                                                                  ,В2ДС  ,0.8,1,3.08,496,3.08,84,27.6,36,9,NA,NA,NA,NA,1,PISY
ДП 'ОСТЕРСЬКИЙ ЛІСГОСП'                                                                             ,СОРОКОШИЦЬКЕ лісництво                                                          ,13,ЧЕРНІГІВСЬКА ОБЛАСТЬ                                                                                ,13742207,01:2:17,0,1.2,СОСНА ЗВИЧАЙНА                                                                                      ,5,1                                                                                                   ,В2                                                                                                  ,В2ДС  ,0.93,1,0.49,410,0.49,59,21.4,25.5,6,NA,NA,NA,NA,1,PISY
ДП 'ОСТЕРСЬКИЙ ЛІСГОСП'                                                                             ,СОРОКОШИЦЬКЕ лісництво                                                          ,13,ЧЕРНІГІВСЬКА ОБЛАСТЬ                                                                                ,13742207,01:2:18,0,2.5,СОСНА ЗВИЧАЙНА                                                                                      ,5,1                                                                                                   ,В2                                                                                                  ,В2ДС  ,0.81,1,1.19,477,1.19,84,26.6,34,9,NA,NA,NA,NA,1,PISY
ДП 'ОСТЕРСЬКИЙ ЛІСГОСП'                                                                             ,СОРОКОШИЦЬКЕ лісництво                                                          ,13,ЧЕРНІГІВСЬКА ОБЛАСТЬ                                                                                ,13742207,01:2:19,0,1.9,СОСНА ЗВИЧАЙНА                                                                                      ,4,1А                                                                                                  ,В2                                                                                                  ,В2ДС  ,0.83,1,0.91,477,0.73,74,28.7,35.4,8,NA,NA,NA,NA,1,PISY
ДП 'ОСТЕРСЬКИЙ ЛІСГОСП'                                                                             ,СОРОКОШИЦЬКЕ лісництво                                                          ,13,ЧЕРНІГІВСЬКА ОБЛАСТЬ                                                                                ,13742207,01:2:22,0,0.6,СОСНА ЗВИЧАЙНА                                                                                      ,5,1                                                                                                   ,В2                                                                                                  ,В2ДС  ,0.85,1,0.21,349,0.17,59,22.1,29.4,6,NA,NA,NA,NA,1,PISY
ДП 'ОСТЕРСЬКИЙ ЛІСГОСП'                                                                             ,СОРОКОШИЦЬКЕ лісництво                                                          ,13,ЧЕРНІГІВСЬКА ОБЛАСТЬ                                                                                ,13742207,01:2:23,0,1,СОСНА ЗВИЧАЙНА                                                                                      ,5,1                                                                                                   ,В2                                                                                                  ,В2ДС  ,0.79,1,0.49,487,0.49,84,27.6,38,9,NA,NA,NA,NA,1,PISY
ДП 'ОСТЕРСЬКИЙ ЛІСГОСП'                                                                             ,СОРОКОШИЦЬКЕ лісництво                                                          ,13,ЧЕРНІГІВСЬКА ОБЛАСТЬ                                                                                ,13742207,01:2:24,0,1,СОСНА ЗВИЧАЙНА                                                                                      ,5,1                                                                                                   ,В2                                                                                                  ,В2ДС  ,0.87,1,0.43,429,0.43,63,23.3,27.5,7,NA,NA,NA,NA,1,PISY
ДП 'ОСТЕРСЬКИЙ ЛІСГОСП'                                                                             ,СОРОКОШИЦЬКЕ лісництво                                                          ,13,ЧЕРНІГІВСЬКА ОБЛАСТЬ                                                                                ,13742207,01:2:25,0,2.2,СОСНА ЗВИЧАЙНА                                                                                      ,5,1                                                                                                   ,В2                                                                                                  ,В2ДС  ,0.78,1,0.97,442,0.87,84,27.6,36.8,9,NA,NA,NA,NA,1,PISY
ДП 'ОСТЕРСЬКИЙ ЛІСГОСП'                                                                             ,СОРОКОШИЦЬКЕ лісництво                                                          ,13,ЧЕРНІГІВСЬКА ОБЛАСТЬ                                                                                ,13742207,01:2:28,0,0.6,СОСНА ЗВИЧАЙНА                                                                                      ,5,1                                                                                                   ,В2                                                                                                  ,В2ДС  ,0.84,1,0.23,380,0.19,64,23.7,31.4,7,NA,NA,NA,NA,1,PISY
ДП 'ОСТЕРСЬКИЙ ЛІСГОСП'                                                                             ,СОРОКОШИЦЬКЕ лісництво                                                          ,13,ЧЕРНІГІВСЬКА ОБЛАСТЬ                                                                                ,13742207,01:2:31,0,1.4,СОСНА ЗВИЧАЙНА                                                                                      ,5,1                                                                                                   ,В2                                                                                                  ,В2ДС  ,0.84,1,0.51,361,0.41,67,22.5,29.5,7,NA,NA,NA,NA,1,PISY
ДП 'ОСТЕРСЬКИЙ ЛІСГОСП'                                                                             ,СОРОКОШИЦЬКЕ лісництво                                                          ,13,ЧЕРНІГІВСЬКА ОБЛАСТЬ                                                                                ,13742207,01:3:1,0,9,СОСНА ЗВИЧАЙНА                                                                                      ,5,1                                                                                                   ,В2                                                                                                  ,В2ДС  ,0.84,1,3.43,381,2.4,74,25.6,31.9,8,NA,NA,NA,NA,1,PISY
ДП 'ОСТЕРСЬКИЙ ЛІСГОСП'                                                                             ,СОРОКОШИЦЬКЕ лісництво                                                          ,13,ЧЕРНІГІВСЬКА ОБЛАСТЬ                                                                                ,13742207,01:3:2,0,0.3,СОСНА ЗВИЧАЙНА                                                                                      ,5,1                                                                                                   ,В2                                                                                                  ,В2ДС  ,0.87,1,0.08,273,0.06,46,17.9,23.4,5,NA,NA,NA,NA,1,PISY
ДП 'ОСТЕРСЬКИЙ ЛІСГОСП'                                                                             ,СОРОКОШИЦЬКЕ лісництво                                                          ,13,ЧЕРНІГІВСЬКА ОБЛАСТЬ                                                                                ,13742207,01:3:3,0,4.3,СОСНА ЗВИЧАЙНА                                                                                      ,5,1                                                                                                   ,В2                                                                                                  ,В2ДС  ,0.82,1,1.72,399,1.21,84,27.6,36.8,9,NA,NA,NA,NA,1,PISY
ДП 'ОСТЕРСЬКИЙ ЛІСГОСП'                                                                             ,СОРОКОШИЦЬКЕ лісництво                                                          ,13,ЧЕРНІГІВСЬКА ОБЛАСТЬ                                                                                ,13742207,01:3:4,0,9.6,СОСНА ЗВИЧАЙНА                                                                                      ,5,1                                                                                                   ,В2                                                                                                  ,В2ДС  ,0.78,1,3.56,371,2.49,74,25.9,29.5,8,NA,NA,NA,NA,1,PISY
ДП 'ОСТЕРСЬКИЙ ЛІСГОСП'                                                                             ,СОРОКОШИЦЬКЕ лісництво                                                          ,13,ЧЕРНІГІВСЬКА ОБЛАСТЬ                                                                                ,13742207,01:3:5,0,0.6,СОСНА ЗВИЧАЙНА                                                                                      ,5,1                                                                                                   ,В2                                                                                                  ,В2ДС  ,0.89,1,0.21,357,0.17,60,21.2,27.5,6,NA,NA,NA,NA,1,PISY
ДП 'ОСТЕРСЬКИЙ ЛІСГОСП'                                                                             ,СОРОКОШИЦЬКЕ лісництво                                                          ,13,ЧЕРНІГІВСЬКА ОБЛАСТЬ                                                                                ,13742207,01:3:7,0,0.4,БЕРЕЗА ПОВИСЛА                                                                                      ,5,1                                                                                                   ,В2                                                                                                  ,В2ДС  ,0.83,1,0.07,166,0.05,34,17.3,23.2,4,NA,NA,NA,NA,1,BEPE
ДП 'ОСТЕРСЬКИЙ ЛІСГОСП'                                                                             ,СОРОКОШИЦЬКЕ лісництво                                                          ,13,ЧЕРНІГІВСЬКА ОБЛАСТЬ                                                                                ,13742207,01:3:8,0,0.2,БЕРЕЗА ПОВИСЛА                                                                                      ,5,1                                                                                                   ,В2                                                                                                  ,В2ДС  ,0.83,1,0.03,166,0.03,34,17.3,23.2,4,NA,NA,NA,NA,1,BEPE
ДП 'ОСТЕРСЬКИЙ ЛІСГОСП'                                                                             ,СОРОКОШИЦЬКЕ лісництво                                                          ,13,ЧЕРНІГІВСЬКА ОБЛАСТЬ                                                                                ,13742207,01:3:10,0,0.3,СОСНА ЗВИЧАЙНА                                                                                      ,5,1                                                                                                   ,В2                                                                                                  ,В2ДС  ,0.87,1,0.09,284,0.07,49,18.5,25.4,5,NA,NA,NA,NA,1,PISY
ДП 'ОСТЕРСЬКИЙ ЛІСГОСП'                                                                             ,СОРОКОШИЦЬКЕ лісництво                                                          ,13,ЧЕРНІГІВСЬКА ОБЛАСТЬ                                                                                ,13742207,01:3:11,0,0.1,БЕРЕЗА ПОВИСЛА                                                                                      ,6,2                                                                                                   ,В2                                                                                                  ,В2ДС  ,0.8,1,0.01,98,0.01,34,11.1,17.4,4,NA,NA,NA,NA,1,BEPE
ДП 'ОСТЕРСЬКИЙ ЛІСГОСП'                                                                             ,СОРОКОШИЦЬКЕ лісництво                                                          ,13,ЧЕРНІГІВСЬКА ОБЛАСТЬ                                                                                ,13742207,01:4:1,0,4,СОСНА ЗВИЧАЙНА                                                                                      ,5,1                                                                                                   ,А2                                                                                                  ,А2С   ,0.66,1,1.31,327,1.31,70,23.4,26.8,7,NA,NA,NA,NA,1,PISY
ДП 'ОСТЕРСЬКИЙ ЛІСГОСП'                                                                             ,СОРОКОШИЦЬКЕ лісництво                                                          ,13,ЧЕРНІГІВСЬКА ОБЛАСТЬ                                                                                ,13742207,01:4:2,0,15.4,СОСНА ЗВИЧАЙНА                                                                                      ,5,1                                                                                                   ,В2                                                                                                  ,В2ДС  ,0.84,1,5.9,383,5.9,62,21.9,33,7,NA,NA,NA,NA,1,PISY
ДП 'ОСТЕРСЬКИЙ ЛІСГОСП'                                                                             ,СОРОКОШИЦЬКЕ лісництво                                                          ,13,ЧЕРНІГІВСЬКА ОБЛАСТЬ                                                                                ,13742207,01:4:4,0,0.8,СОСНА ЗВИЧАЙНА                                                                                      ,5,1                                                                                                   ,В2                                                                                                  ,В2ДС  ,0.81,1,0.33,411,0.33,74,23.8,39.4,8,NA,NA,NA,NA,1,PISY
ДП 'ОСТЕРСЬКИЙ ЛІСГОСП'                                                                             ,СОРОКОШИЦЬКЕ лісництво                                                          ,13,ЧЕРНІГІВСЬКА ОБЛАСТЬ                                                                                ,13742207,01:4:5,0,5.7,СОСНА ЗВИЧАЙНА                                                                                      ,5,1                                                                                                   ,В2                                                                                                  ,В2ДС  ,0.81,1,1.56,274,1.56,47,17.7,20.5,5,NA,NA,NA,NA,1,PISY
ДП 'ОСТЕРСЬКИЙ ЛІСГОСП'                                                                             ,СОРОКОШИЦЬКЕ лісництво                                                          ,13,ЧЕРНІГІВСЬКА ОБЛАСТЬ                                                                                ,13742207,01:4:6,0,1.2,СОСНА ЗВИЧАЙНА                                                                                      ,5,1                                                                                                   ,В2                                                                                                  ,В2ДС  ,0.81,1,0.2,164,0.2,29,12.4,13.4,3,NA,NA,NA,NA,1,PISY
ДП 'ОСТЕРСЬКИЙ ЛІСГОСП'                                                                             ,СОРОКОШИЦЬКЕ лісництво                                                          ,13,ЧЕРНІГІВСЬКА ОБЛАСТЬ                                                                                ,13742207,01:4:7,0,2.6,СОСНА ЗВИЧАЙНА                                                                                      ,5,1                                                                                                   ,В2                                                                                                  ,В2ДС  ,0.72,1,0.03,11,0.03,7,3,3.5,1,NA,NA,NA,NA,1,PISY
ДП 'ОСТЕРСЬКИЙ ЛІСГОСП'                                                                             ,СОРОКОШИЦЬКЕ лісництво                                                          ,13,ЧЕРНІГІВСЬКА ОБЛАСТЬ                                                                                ,13742207,01:4:8,0,32,СОСНА ЗВИЧАЙНА                                                                                      ,5,1                                                                                                   ,В2                                                                                                  ,В2ДС  ,0.77,1,10.72,335,10.72,63,21.1,27,7,NA,NA,NA,NA,1,PISY
ДП 'ОСТЕРСЬКИЙ ЛІСГОСП'                                                                             ,СОРОКОШИЦЬКЕ лісництво                                                          ,13,ЧЕРНІГІВСЬКА ОБЛАСТЬ                                                                                ,13742207,01:5:1,0,6.1,СОСНА ЗВИЧАЙНА                                                                                      ,5,1                                                                                                   ,В2                                                                                                  ,В2ДС  ,0.85,1,2.51,411,2.51,64,23,24.8,7,NA,NA,NA,NA,1,PISY
ДП 'ОСТЕРСЬКИЙ ЛІСГОСП'                                                                             ,СОРОКОШИЦЬКЕ лісництво                                                          ,13,ЧЕРНІГІВСЬКА ОБЛАСТЬ                                                                                ,13742207,01:5:2,0,9.6,СОСНА ЗВИЧАЙНА                                                                                      ,5,1                                                                                                   ,В2                                                                                                  ,В2ДС  ,0.68,1,3.64,379,3.64,77,25.4,28.8,8,NA,NA,NA,NA,1,PISY
ДП 'ОСТЕРСЬКИЙ ЛІСГОСП'                                                                             ,СОРОКОШИЦЬКЕ лісництво                                                          ,13,ЧЕРНІГІВСЬКА ОБЛАСТЬ                                                                                ,13742207,01:6:1,0,41,СОСНА ЗВИЧАЙНА                                                                                      ,4,1А                                                                                                  ,В2                                                                                                  ,В2ДС  ,0.87,1,18.82,459,18.82,63,24.5,29.5,7,NA,NA,NA,NA,1,PISY
ДП 'ОСТЕРСЬКИЙ ЛІСГОСП'                                                                             ,СОРОКОШИЦЬКЕ лісництво                                                          ,13,ЧЕРНІГІВСЬКА ОБЛАСТЬ                                                                                ,13742207,01:6:2,0,0.1,СОСНА ЗВИЧАЙНА                                                                                      ,5,1                                                                                                   ,В2                                                                                                  ,В2ДС  ,0.91,1,0.03,311,0.03,46,17.9,23.4,5,NA,NA,NA,NA,1,PISY
ДП 'ОСТЕРСЬКИЙ ЛІСГОСП'                                                                             ,СОРОКОШИЦЬКЕ лісництво                                                          ,13,ЧЕРНІГІВСЬКА ОБЛАСТЬ                                                                                ,13742207,01:6:3,0,2.9,СОСНА ЗВИЧАЙНА                                                                                      ,5,1                                                                                                   ,В2                                                                                                  ,В2ДС  ,0.6,1,1.07,370,1.07,79,27,32,8,NA,NA,NA,NA,1,PISY
ДП 'ОСТЕРСЬКИЙ ЛІСГОСП'                                                                             ,СОРОКОШИЦЬКЕ лісництво                                                          ,13,ЧЕРНІГІВСЬКА ОБЛАСТЬ                                                                                ,13742207,01:6:4,0,1.5,СОСНА ЗВИЧАЙНА                                                                                      ,5,1                                                                                                   ,В2                                                                                                  ,В2ДС  ,0.79,1,0.66,441,0.66,79,25.6,36,8,NA,NA,NA,NA,1,PISY
ДП 'ОСТЕРСЬКИЙ ЛІСГОСП'                                                                             ,СОРОКОШИЦЬКЕ лісництво                                                          ,13,ЧЕРНІГІВСЬКА ОБЛАСТЬ                                                                                ,13742207,01:6:5,0,0.5,СОСНА ЗВИЧАЙНА                                                                                      ,5,1                                                                                                   ,В2                                                                                                  ,В2ДС  ,0.76,1,0.1,190,0.09,37,14.6,18.4,4,NA,NA,NA,NA,1,PISY
ДП 'ОСТЕРСЬКИЙ ЛІСГОСП'                                                                             ,СОРОКОШИЦЬКЕ лісництво                                                          ,13,ЧЕРНІГІВСЬКА ОБЛАСТЬ                                                                                ,13742207,01:7:1,0,19,СОСНА ЗВИЧАЙНА                                                                                      ,5,1                                                                                                   ,В2                                                                                                  ,В2ДС  ,0.83,1,7.35,387,7.35,62,22.3,28,7,NA,NA,NA,NA,1,PISY
ДП 'ОСТЕРСЬКИЙ ЛІСГОСП'                                                                             ,СОРОКОШИЦЬКЕ лісництво                                                          ,13,ЧЕРНІГІВСЬКА ОБЛАСТЬ                                                                                ,13742207,01:7:2,0,33,СОСНА ЗВИЧАЙНА                                                                                      ,5,1                                                                                                   ,В2                                                                                                  ,В2ДС  ,0.84,1,15.15,459,15.15,74,25.1,33.5,8,NA,NA,NA,NA,1,PISY
ДП 'ОСТЕРСЬКИЙ ЛІСГОСП'                                                                             ,СОРОКОШИЦЬКЕ лісництво                                                          ,13,ЧЕРНІГІВСЬКА ОБЛАСТЬ                                                                                ,13742207,01:8:1,0,30.7,СОСНА ЗВИЧАЙНА                                                                                      ,6,2                                                                                                   ,А2                                                                                                  ,А2С   ,0.83,1,8.17,266,8.17,60,17,20,6,NA,NA,NA,NA,1,PISY
ДП 'ОСТЕРСЬКИЙ ЛІСГОСП'                                                                             ,СОРОКОШИЦЬКЕ лісництво                                                          ,13,ЧЕРНІГІВСЬКА ОБЛАСТЬ                                                                                ,13742207,01:8:1,1,1.6,СОСНА ЗВИЧАЙНА                                                                                      ,6,2                                                                                                   ,А2                                                                                                  ,А2С   ,0.7,1,0.03,20,0.03,9,3,6,1,NA,NA,NA,NA,1,PISY
ДП 'ОСТЕРСЬКИЙ ЛІСГОСП'                                                                             ,СОРОКОШИЦЬКЕ лісництво                                                          ,13,ЧЕРНІГІВСЬКА ОБЛАСТЬ                                                                                ,13742207,01:8:1,2,3,СОСНА ЗВИЧАЙНА                                                                                      ,6,2                                                                                                   ,А2                                                                                                  ,А2С   ,0.7,1,0.02,5,0.02,7,2,4,1,NA,NA,NA,NA,1,PISY
ДП 'ОСТЕРСЬКИЙ ЛІСГОСП'                                                                             ,СОРОКОШИЦЬКЕ лісництво                                                          ,13,ЧЕРНІГІВСЬКА ОБЛАСТЬ                                                                                ,13742207,01:8:1,3,2,СОСНА ЗВИЧАЙНА                                                                                      ,6,2                                                                                                   ,А2                                                                                                  ,А2С   ,0.7,1,0.01,5,0.01,7,2,4,1,NA,NA,NA,NA,1,PISY
