X,Y,Coastal,Blue,Green,Red,NIR,SWIR1,SWIR2,NDVI,IPVI,GRVI,poroda_short
353895,5650995,27,20,15,47,27,199,15,0.36486,-0.27027,-0.51613,PISY
354195,5651265,27,21,16,47,27,198,14,0.36486,-0.27027,-0.49206,PISY
354375,5651655,25,20,15,52,29,197,16,0.35802,-0.28395,-0.55224,PISY
354615,5651985,24,20,14,51,24,198,11,0.32,-0.36,-0.56923,PISY
354945,5652225,27,20,14,55,25,198,11,0.3125,-0.375,-0.5942,PISY
354675,5652525,24,19,15,48,26,198,13,0.35135,-0.2973,-0.52381,PISY
356085,5653305,26,20,14,89,39,196,14,0.30469,-0.39063,-0.72816,ALGL
355935,5653335,24,20,13,86,36,195,13,0.29508,-0.40984,-0.73737,ALGL
356055,5653935,26,21,14,58,27,196,12,0.31765,-0.36471,-0.61111,PISY
355875,5653965,26,21,15,86,34,197,12,0.28333,-0.43333,-0.70297,OTHERS
356595,5654415,25,20,14,66,37,199,15,0.35922,-0.28155,-0.65,PISY
356655,5655045,25,19,14,57,30,200,13,0.34483,-0.31034,-0.60563,PISY
354825,5655045,27,21,16,54,29,199,13,0.3494,-0.3012,-0.54286,PISY
357795,5656965,25,20,14,67,32,195,13,0.32323,-0.35354,-0.65432,ALGL
357015,5656875,26,21,14,88,36,196,13,0.29032,-0.41935,-0.72549,POTR
357315,5657175,27,21,14,93,38,195,14,0.29008,-0.41985,-0.73832,ALGL
355245,5650305,25,20,16,49,25,198,12,0.33784,-0.32432,-0.50769,PISY
357495,5649045,26,20,15,53,29,201,14,0.35366,-0.29268,-0.55882,PISY
357165,5654685,25,20,14,73,32,199,13,0.30476,-0.39048,-0.67816,BEPE
357675,5654265,30,24,19,53,32,199,15,0.37647,-0.24706,-0.47222,BEPE
355965,5653785,25,20,14,82,37,196,14,0.31092,-0.37815,-0.70833,OTHERS
357885,5656725,24,20,13,88,39,195,15,0.30709,-0.38583,-0.74257,ALGL
357435,5656875,27,20,14,77,36,195,14,0.31858,-0.36283,-0.69231,POTR
356925,5656995,26,20,14,77,35,196,14,0.3125,-0.375,-0.69231,OTHERS
354165,5651535,25,19,14,55,28,198,13,0.33735,-0.3253,-0.5942,PISY
354225,5651385,27,21,16,48,26,198,12,0.35135,-0.2973,-0.5,PISY
357615,5656995,26,21,14,94,41,196,17,0.3037,-0.39259,-0.74074,ALGL
356355,5650335,26,21,16,46,26,199,13,0.36111,-0.27778,-0.48387,PISY
355995,5649285,26,20,16,64,29,197,14,0.31183,-0.37634,-0.6,BEPE
360795,5650035,28,24,18,48,28,199,13,0.36842,-0.26316,-0.45455,PISY
359835,5649045,24,19,14,53,28,199,13,0.34568,-0.30864,-0.58209,PISY
349185,5646045,25,21,15,76,34,199,15,0.30909,-0.38182,-0.67033,POTR
349725,5649555,25,23,16,54,25,196,14,0.31646,-0.36709,-0.54286,POTR
353235,5648775,28,23,18,57,34,200,18,0.37363,-0.25275,-0.52,PISY
357675,5649765,25,19,14,55,28,197,12,0.33735,-0.3253,-0.5942,BEPE
356895,5649615,30,24,19,51,36,199,19,0.41379,-0.17241,-0.45714,PISY
356775,5649225,25,20,14,52,26,200,12,0.33333,-0.33333,-0.57576,PISY
356415,5650275,25,20,14,62,30,199,14,0.32609,-0.34783,-0.63158,BEPE
355035,5650455,25,21,14,66,34,197,14,0.34,-0.32,-0.65,BEPE
356085,5652645,24,20,14,79,37,198,15,0.31897,-0.36207,-0.69892,PISY
356205,5653185,25,20,14,84,36,197,14,0.3,-0.4,-0.71429,ALGL
355965,5654265,24,20,13,93,40,197,15,0.30075,-0.3985,-0.75472,PISY
356145,5654475,26,21,14,114,45,196,17,0.28302,-0.43396,-0.78125,ALGL
354795,5655135,27,22,17,52,33,198,15,0.38824,-0.22353,-0.50725,PISY
358485,5656905,25,20,14,78,37,198,15,0.32174,-0.35652,-0.69565,ALGL
357945,5656875,26,20,15,85,35,195,13,0.29167,-0.41667,-0.7,ALGL
357255,5656815,26,20,14,84,34,196,13,0.28814,-0.42373,-0.71429,ALGL
355635,5651355,26,21,14,84,42,198,18,0.33333,-0.33333,-0.71429,ALGL
357975,5650185,27,21,14,52,25,197,12,0.32468,-0.35065,-0.57576,PISY
356355,5649495,26,21,15,48,30,199,15,0.38462,-0.23077,-0.52381,PISY
356325,5654085,25,20,15,77,41,197,17,0.34746,-0.30508,-0.67391,PISY
357165,5656965,27,21,14,92,39,195,15,0.29771,-0.40458,-0.73585,ALGL
357405,5656995,26,21,14,85,41,196,16,0.3254,-0.34921,-0.71717,POTR
360585,5652735,27,21,16,46,28,199,13,0.37838,-0.24324,-0.48387,PISY
359535,5649825,29,22,17,47,26,200,13,0.35616,-0.28767,-0.46875,PISY
359565,5649495,27,22,18,54,29,198,15,0.3494,-0.3012,-0.5,PISY
373035,5646405,26,21,15,89,35,198,14,0.28226,-0.43548,-0.71154,OTHERS
373545,5646285,26,22,15,91,36,195,12,0.28346,-0.43307,-0.71698,OTHERS
373875,5646615,27,21,15,91,38,195,14,0.29457,-0.41085,-0.71698,OTHERS
373935,5647785,27,21,15,90,40,196,16,0.30769,-0.38462,-0.71429,OTHERS
374475,5646765,27,22,16,93,39,196,14,0.29545,-0.40909,-0.70642,OTHERS
374055,5646315,27,24,16,97,40,196,15,0.29197,-0.41606,-0.71681,PISY
373995,5646255,27,22,16,89,32,196,13,0.26446,-0.47107,-0.69524,ALGL
374655,5646045,27,23,16,89,37,195,15,0.29365,-0.4127,-0.69524,POTR
373305,5647395,27,22,15,98,40,198,15,0.28986,-0.42029,-0.73451,ALGL
374535,5646915,27,21,15,90,37,196,14,0.29134,-0.41732,-0.71429,POTR
373545,5645865,27,21,15,90,36,196,14,0.28571,-0.42857,-0.71429,ALGL
373815,5645835,27,22,15,103,40,196,15,0.27972,-0.44056,-0.74576,ALGL
373785,5645085,26,22,15,106,42,196,16,0.28378,-0.43243,-0.75207,POTR
373545,5644995,26,23,16,112,46,196,17,0.29114,-0.41772,-0.75,POTR
374265,5642145,28,23,17,85,37,198,14,0.30328,-0.39344,-0.66667,OTHERS
374445,5641635,30,25,18,88,38,196,15,0.30159,-0.39683,-0.66038,ALGL
373185,5645115,27,21,15,97,40,197,17,0.29197,-0.41606,-0.73214,ALGL
373185,5645325,27,22,17,84,39,198,21,0.31707,-0.36585,-0.66337,OTHERS
373275,5645355,26,22,15,86,36,196,14,0.29508,-0.40984,-0.70297,BEPE
373455,5645805,27,22,15,91,37,196,15,0.28906,-0.42188,-0.71698,POTR
373605,5645865,27,21,15,82,32,196,13,0.2807,-0.4386,-0.69072,BEPE
373515,5645415,26,21,15,81,35,195,14,0.30172,-0.39655,-0.6875,ALGL
373785,5645415,26,22,15,97,45,195,17,0.3169,-0.3662,-0.73214,OTHERS
374085,5641965,29,22,17,82,39,196,17,0.32231,-0.35537,-0.65657,BEPE
363915,5653845,24,20,15,56,31,198,15,0.35632,-0.28736,-0.57746,PISY
367365,5656515,24,19,14,60,28,197,13,0.31818,-0.36364,-0.62162,PISY
368805,5656815,35,30,25,48,28,199,18,0.36842,-0.26316,-0.31507,PISY
368115,5656335,25,20,16,46,30,200,15,0.39474,-0.21053,-0.48387,PISY
369285,5657415,26,20,16,46,25,198,13,0.35211,-0.29577,-0.48387,PISY
369105,5657385,27,20,15,48,23,198,11,0.32394,-0.35211,-0.52381,BEPE
365865,5655435,24,19,15,55,29,201,14,0.34524,-0.30952,-0.57143,BEPE
366075,5655555,25,19,13,52,25,197,11,0.32468,-0.35065,-0.6,PISY
365505,5655675,26,20,15,54,27,198,12,0.33333,-0.33333,-0.56522,PISY
363555,5652555,24,19,13,60,29,197,12,0.32584,-0.34831,-0.64384,PISY
364725,5651955,24,19,13,90,35,197,14,0.28,-0.44,-0.74757,BEPE
363825,5653755,24,19,16,48,28,198,15,0.36842,-0.26316,-0.5,PISY
364155,5651385,26,19,14,50,23,197,11,0.31507,-0.36986,-0.5625,PISY
364395,5650485,25,19,15,49,26,198,12,0.34667,-0.30667,-0.53125,PISY
364215,5652015,25,21,17,66,35,200,15,0.34653,-0.30693,-0.59036,BEPE
364455,5651385,24,18,14,57,25,197,12,0.30488,-0.39024,-0.60563,BEPE
364785,5650125,25,19,14,48,23,198,10,0.32394,-0.35211,-0.54839,PISY
365235,5650005,25,19,14,61,29,199,13,0.32222,-0.35556,-0.62667,PISY
365325,5652465,24,19,14,79,35,198,13,0.30702,-0.38596,-0.69892,OTHERS
364035,5653935,24,20,16,48,27,198,14,0.36,-0.28,-0.5,BEPE
363975,5653905,25,19,14,50,26,198,12,0.34211,-0.31579,-0.5625,PISY
364215,5652615,25,20,14,63,30,197,13,0.32258,-0.35484,-0.63636,BEPE
364065,5653875,25,20,14,50,27,199,12,0.35065,-0.2987,-0.5625,PISY
364065,5653005,24,19,14,56,30,198,13,0.34884,-0.30233,-0.6,PISY
366495,5652975,25,20,15,73,35,201,17,0.32407,-0.35185,-0.65909,PISY
366285,5652915,25,20,16,49,26,200,14,0.34667,-0.30667,-0.50769,PISY
366225,5653755,25,21,17,71,39,199,17,0.35455,-0.29091,-0.61364,BEPE
366375,5654655,26,21,15,52,26,197,11,0.33333,-0.33333,-0.55224,PISY
364965,5653875,26,22,19,55,37,202,20,0.40217,-0.19565,-0.48649,PISY
365085,5654775,26,20,14,56,27,198,13,0.3253,-0.3494,-0.6,PISY
366255,5655345,26,21,15,61,31,197,12,0.33696,-0.32609,-0.60526,BEPE
366225,5655525,24,20,15,65,33,197,14,0.33673,-0.32653,-0.625,BEPE
365535,5655015,26,22,19,58,41,201,22,0.41414,-0.17172,-0.50649,PISY
365535,5655465,27,20,15,51,27,198,14,0.34615,-0.30769,-0.54545,PISY
368745,5657355,25,21,16,58,32,199,16,0.35556,-0.28889,-0.56757,PISY
367755,5658015,24,20,16,45,29,198,14,0.39189,-0.21622,-0.47541,PISY
367815,5657925,28,21,17,47,27,199,13,0.36486,-0.27027,-0.46875,PISY
367185,5657565,26,20,15,54,30,198,14,0.35714,-0.28571,-0.56522,PISY
368025,5658855,27,21,17,50,26,199,12,0.34211,-0.31579,-0.49254,PISY
367065,5658465,25,22,16,59,27,196,13,0.31395,-0.37209,-0.57333,PISY
367545,5655555,24,18,14,44,26,199,13,0.37143,-0.25714,-0.51724,BEPE
367155,5655765,24,18,15,71,32,196,13,0.31068,-0.37864,-0.65116,BEPE
367845,5655975,24,19,14,59,29,198,12,0.32955,-0.34091,-0.61644,BEPE
367605,5656005,26,20,16,48,28,199,15,0.36842,-0.26316,-0.5,PISY
368085,5656335,25,20,16,46,32,199,15,0.41026,-0.17949,-0.48387,BEPE
367815,5656365,24,20,14,69,32,198,14,0.31683,-0.36634,-0.66265,PISY
367785,5656455,24,20,16,71,34,198,14,0.32381,-0.35238,-0.63218,BEPE
367785,5656125,27,21,16,63,30,198,14,0.32258,-0.35484,-0.59494,BEPE
368415,5655795,31,25,22,51,30,198,18,0.37037,-0.25926,-0.39726,BEPE
368415,5655975,27,20,16,54,33,199,17,0.37931,-0.24138,-0.54286,BEPE
369195,5656335,25,21,16,54,30,198,14,0.35714,-0.28571,-0.54286,ALGL
369525,5655825,25,20,13,81,39,196,16,0.325,-0.35,-0.7234,ALGL
369585,5657175,25,21,15,57,32,198,15,0.35955,-0.2809,-0.58333,PISY
366405,5654805,24,18,14,62,30,198,12,0.32609,-0.34783,-0.63158,PISY
366135,5658495,26,22,17,63,40,201,19,0.38835,-0.2233,-0.575,BEPE
365445,5653005,25,21,15,76,40,199,17,0.34483,-0.31034,-0.67033,BEPE
366465,5653515,25,21,15,90,39,197,15,0.30233,-0.39535,-0.71429,PISY
365115,5653695,25,20,15,49,27,198,13,0.35526,-0.28947,-0.53125,PISY
368625,5655795,29,27,23,53,30,197,16,0.36145,-0.27711,-0.39474,PISY
369465,5655885,26,19,16,47,27,196,14,0.36486,-0.27027,-0.49206,PISY
367755,5655915,27,21,17,56,32,197,16,0.36364,-0.27273,-0.53425,PISY
367665,5656785,24,20,14,48,28,199,14,0.36842,-0.26316,-0.54839,PISY
366465,5655765,24,19,14,45,28,199,13,0.38356,-0.23288,-0.52542,BEPE
368115,5657445,32,27,24,54,35,200,19,0.39326,-0.21348,-0.38462,PISY
367455,5657685,28,22,17,61,30,199,16,0.32967,-0.34066,-0.5641,PISY
367665,5657505,39,33,30,61,35,199,20,0.36458,-0.27083,-0.34066,PISY
365985,5658075,26,21,15,50,25,198,11,0.33333,-0.33333,-0.53846,PISY
366255,5658195,26,21,16,50,26,199,12,0.34211,-0.31579,-0.51515,PISY
366045,5662995,25,20,14,54,32,198,15,0.37209,-0.25581,-0.58824,PISY
